home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
152,644,14:00,4D,2022-11-12,10,True,2-1,14:00,2022-11-12 14:00:00+01:00,2022-11-12 15:10:00+01:00
152,641,14:00,4D,2022-11-26,12,True,6-2,14:00,2022-11-26 14:00:00+01:00,2022-11-26 15:10:00+01:00
152,92,14:00,4D,2022-12-10,14,False,,14:00,2022-12-10 14:00:00+01:00,2022-12-10 15:10:00+01:00
152,16,14:00,4D,2022-12-17,15,False,,14:00,2022-12-17 14:00:00+01:00,2022-12-17 15:10:00+01:00
152,574,14:00,4D,2023-01-14,17,False,,14:00,2023-01-14 14:00:00+01:00,2023-01-14 15:10:00+01:00
152,493,14:00,4D,2023-01-28,19,False,,14:00,2023-01-28 14:00:00+01:00,2023-01-28 15:10:00+01:00
152,999,14:00,4D,2023-02-11,21,False,,14:00,2023-02-11 14:00:00+01:00,2023-02-11 15:10:00+01:00
152,649,14:00,4D,2023-03-11,24,False,,14:00,2023-03-11 14:00:00+01:00,2023-03-11 15:10:00+01:00
152,601,14:00,4D,2023-03-18,25,False,,14:00,2023-03-18 14:00:00+01:00,2023-03-18 15:10:00+01:00
517,663,12:30,5C,2022-09-10,2,False,,12:30,2022-09-10 12:30:00+02:00,2022-09-10 13:40:00+02:00
517,999,12:30,5C,2022-09-24,4,False,,12:30,2022-09-24 12:30:00+02:00,2022-09-24 13:40:00+02:00
517,658,12:30,5C,2022-10-08,6,True,6-1,12:30,2022-10-08 12:30:00+02:00,2022-10-08 13:40:00+02:00
517,656,12:30,5C,2022-10-22,8,True,6-2,12:30,2022-10-22 12:30:00+02:00,2022-10-22 13:40:00+02:00
517,657,12:30,5C,2022-11-12,10,True,8-0,12:30,2022-11-12 12:30:00+01:00,2022-11-12 13:40:00+01:00
517,100,12:30,5C,2022-11-26,12,True,3-1,12:30,2022-11-26 12:30:00+01:00,2022-11-26 13:40:00+01:00
517,303,12:30,5C,2022-12-10,14,False,,12:30,2022-12-10 12:30:00+01:00,2022-12-10 13:40:00+01:00
517,664,12:30,5C,2022-12-17,15,False,,12:30,2022-12-17 12:30:00+01:00,2022-12-17 13:40:00+01:00
517,128,12:30,5C,2023-01-14,17,False,,12:30,2023-01-14 12:30:00+01:00,2023-01-14 13:40:00+01:00
517,660,12:30,5C,2023-01-28,19,False,,12:30,2023-01-28 12:30:00+01:00,2023-01-28 13:40:00+01:00
517,428,12:30,5C,2023-02-11,21,False,,12:30,2023-02-11 12:30:00+01:00,2023-02-11 13:40:00+01:00
517,63,12:30,5C,2023-03-11,24,False,,12:30,2023-03-11 12:30:00+01:00,2023-03-11 13:40:00+01:00
517,662,12:30,5C,2023-03-18,25,False,,12:30,2023-03-18 12:30:00+01:00,2023-03-18 13:40:00+01:00
63,303,13:30,5C,2022-09-10,2,False,,13:30,2022-09-10 13:30:00+02:00,2022-09-10 14:40:00+02:00
63,128,13:30,5C,2022-09-24,4,True,6-1,13:30,2022-09-24 13:30:00+02:00,2022-09-24 14:40:00+02:00
63,660,13:30,5C,2022-10-08,6,True,2-0,13:30,2022-10-08 13:30:00+02:00,2022-10-08 14:40:00+02:00
63,428,13:30,5C,2022-10-22,8,True,5-0,13:30,2022-10-22 13:30:00+02:00,2022-10-22 14:40:00+02:00
63,662,13:30,5C,2022-11-12,10,True,2-2,13:30,2022-11-12 13:30:00+01:00,2022-11-12 14:40:00+01:00
63,517,13:30,5C,2022-11-19,11,True,2-1,13:30,2022-11-19 13:30:00+01:00,2022-11-19 14:40:00+01:00
63,999,13:30,5C,2022-12-10,14,False,,13:30,2022-12-10 13:30:00+01:00,2022-12-10 14:40:00+01:00
63,658,13:30,5C,2023-01-14,17,False,,13:30,2023-01-14 13:30:00+01:00,2023-01-14 14:40:00+01:00
63,656,13:30,5C,2023-01-28,19,False,,13:30,2023-01-28 13:30:00+01:00,2023-01-28 14:40:00+01:00
63,657,13:30,5C,2023-02-11,21,False,,13:30,2023-02-11 13:30:00+01:00,2023-02-11 14:40:00+01:00
63,664,13:30,5C,2023-02-25,22,False,,13:30,2023-02-25 13:30:00+01:00,2023-02-25 14:40:00+01:00
63,100,13:30,5C,2023-03-18,25,False,,13:30,2023-03-18 13:30:00+01:00,2023-03-18 14:40:00+01:00
63,663,13:30,5C,2023-03-25,26,False,,13:30,2023-03-25 13:30:00+01:00,2023-03-25 14:40:00+01:00
664,656,15:30,5C,2022-09-10,2,False,,15:30,2022-09-10 15:30:00+02:00,2022-09-10 16:40:00+02:00
664,428,15:30,5C,2022-09-24,4,True,8-0,15:30,2022-09-24 15:30:00+02:00,2022-09-24 16:40:00+02:00
664,657,15:30,5C,2022-10-08,6,True,9-0,15:30,2022-10-08 15:30:00+02:00,2022-10-08 16:40:00+02:00
664,662,15:30,5C,2022-10-22,8,True,2-0,15:30,2022-10-22 15:30:00+02:00,2022-10-22 16:40:00+02:00
664,100,15:30,5C,2022-11-12,10,True,5-2,15:30,2022-11-12 15:30:00+01:00,2022-11-12 16:40:00+01:00
664,660,15:30,5C,2022-11-19,11,True,4-0,15:30,2022-11-19 15:30:00+01:00,2022-11-19 16:40:00+01:00
664,63,15:30,5C,2022-11-26,12,True,2-1,15:30,2022-11-26 15:30:00+01:00,2022-11-26 16:40:00+01:00
664,663,15:30,5C,2022-12-10,14,False,,15:30,2022-12-10 15:30:00+01:00,2022-12-10 16:40:00+01:00
664,303,15:30,5C,2023-01-14,17,False,,15:30,2023-01-14 15:30:00+01:00,2023-01-14 16:40:00+01:00
664,999,15:30,5C,2023-01-28,19,False,,15:30,2023-01-28 15:30:00+01:00,2023-01-28 16:40:00+01:00
664,128,15:30,5C,2023-02-11,21,False,,15:30,2023-02-11 15:30:00+01:00,2023-02-11 16:40:00+01:00
664,658,15:30,5C,2023-03-18,25,False,,15:30,2023-03-18 15:30:00+01:00,2023-03-18 16:40:00+01:00
664,517,15:30,5C,2023-03-25,26,False,,15:30,2023-03-25 15:30:00+01:00,2023-03-25 16:40:00+01:00
357,181,14:00,3A,2022-09-10,2,False,,14:00,2022-09-10 14:00:00+02:00,2022-09-10 15:10:00+02:00
357,537,14:00,3A,2022-09-24,4,True,1-0,14:00,2022-09-24 14:00:00+02:00,2022-09-24 15:10:00+02:00
357,420,14:00,3A,2022-10-08,6,True,7-1,14:00,2022-10-08 14:00:00+02:00,2022-10-08 15:10:00+02:00
357,343,14:00,3A,2022-10-22,8,True,3-0,14:00,2022-10-22 14:00:00+02:00,2022-10-22 15:10:00+02:00
357,340,14:00,3A,2022-11-12,10,True,4-0,14:00,2022-11-12 14:00:00+01:00,2022-11-12 15:10:00+01:00
357,543,14:00,3A,2022-11-26,12,True,8-4,14:00,2022-11-26 14:00:00+01:00,2022-11-26 15:10:00+01:00
357,359,14:00,3A,2022-12-10,14,False,,14:00,2022-12-10 14:00:00+01:00,2022-12-10 15:10:00+01:00
357,605,14:00,3A,2022-12-17,15,False,,14:00,2022-12-17 14:00:00+01:00,2022-12-17 15:10:00+01:00
357,217,14:00,3A,2023-01-14,17,False,,14:00,2023-01-14 14:00:00+01:00,2023-01-14 15:10:00+01:00
357,268,14:00,3A,2023-01-28,19,False,,14:00,2023-01-28 14:00:00+01:00,2023-01-28 15:10:00+01:00
357,556,14:00,3A,2023-02-11,21,False,,14:00,2023-02-11 14:00:00+01:00,2023-02-11 15:10:00+01:00
357,169,14:00,3A,2023-03-11,24,False,,14:00,2023-03-11 14:00:00+01:00,2023-03-11 15:10:00+01:00
